code,date,number 1,number 2,number 3,number 4,number 5,number 6
268,20/04/2019,8,10,12,24,40,44
269,23/04/2019,20,21,22,31,43,45
270,25/04/2019,16,22,23,33,36,38
271,27/04/2019,1,11,22,26,33,51
272,30/04/2019,3,5,13,40,41,45
273,02/05/2019,2,10,16,17,33,36
274,04/05/2019,1,2,3,17,26,53
275,07/05/2019,3,6,7,8,9,49
276,09/05/2019,19,21,48,49,54,55
277,11/05/2019,6,11,20,22,26,28
278,14/05/2019,6,11,15,21,30,40
279,16/05/2019,8,28,30,33,40,43
280,18/05/2019,6,10,13,18,29,38
281,21/05/2019,11,12,29,31,37,53
282,23/05/2019,13,21,33,42,53,55
283,25/05/2019,4,12,35,44,50,55
284,28/05/2019,15,22,31,32,33,37
285,30/05/2019,17,31,33,34,37,40
286,01/06/2019,10,24,31,41,42,47
287,04/06/2019,18,20,24,26,33,41
288,06/06/2019,10,13,30,36,51,54
289,08/06/2019,2,8,10,23,27,35
290,11/06/2019,2,5,13,20,30,49
291,13/06/2019,6,9,15,22,29,53
292,15/06/2019,13,23,40,45,52,55
293,18/06/2019,24,31,45,46,47,54
294,20/06/2019,9,15,23,41,49,51
295,22/06/2019,1,9,23,28,42,54
296,25/06/2019,3,14,34,35,40,49
297,27/06/2019,9,29,32,44,49,53
298,29/06/2019,6,10,19,31,34,43
299,02/07/2019,2,9,33,45,52,54
300,04/07/2019,4,5,14,46,52,54
301,06/07/2019,5,29,36,39,46,53
302,09/07/2019,4,17,25,40,42,51
303,11/07/2019,6,9,15,26,35,38
304,13/07/2019,5,23,29,45,50,52
305,16/07/2019,4,12,19,31,33,40
306,18/07/2019,4,24,29,31,39,41
307,20/07/2019,15,18,25,32,42,52
308,23/07/2019,5,10,21,32,39,52
309,25/07/2019,3,31,34,41,52,53
310,27/07/2019,2,3,25,33,44,50
311,30/07/2019,3,8,12,21,32,51
312,01/08/2019,1,18,39,45,48,49
313,03/08/2019,13,24,25,26,27,30
314,06/08/2019,9,11,19,20,26,42
315,08/08/2019,1,6,17,18,21,41
316,10/08/2019,7,17,36,42,43,50
317,13/08/2019,4,8,16,27,32,40
318,15/08/2019,19,25,31,32,39,47
319,17/08/2019,9,11,24,26,38,53
320,20/08/2019,10,30,38,48,54,55
321,22/08/2019,4,7,16,17,30,39
322,24/08/2019,19,20,34,40,49,51
323,27/08/2019,16,22,29,33,46,47
324,29/08/2019,10,11,12,23,27,48
325,31/08/2019,13,20,23,32,51,52
326,03/09/2019,13,14,29,35,41,55
327,05/09/2019,20,24,27,30,33,45
328,07/09/2019,7,17,31,35,38,46
329,10/09/2019,6,9,19,39,50,54
330,12/09/2019,18,29,32,33,45,49
331,14/09/2019,10,36,42,44,45,54
332,17/09/2019,3,14,26,38,43,47
333,19/09/2019,2,8,22,34,39,41
334,21/09/2019,2,5,23,30,42,45
335,24/09/2019,12,33,39,40,48,53
336,26/09/2019,7,12,38,43,51,55
337,28/09/2019,4,8,21,23,40,43
338,01/10/2019,5,22,38,41,47,49
339,03/10/2019,4,7,8,26,37,44
340,05/10/2019,10,29,30,31,37,51
341,08/10/2019,8,36,39,43,48,50
342,10/10/2019,4,17,42,51,53,55
343,12/10/2019,21,39,48,51,53,55
344,15/10/2019,9,12,29,46,48,53
